CNT,CNTSCHID,REGION,STRATUM,SC001Q01TA,SC011Q01TA,SCHSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,student_behavior_issue_mean,teacher_behavior_issue_mean,resources_issue_mean,staff_issues_mean,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA
POL,61600067,61600,POL04,2,1,383,207,176,7.7374,49.5,2.4,1.8,2.5,2.75,3,3,2,2,2,2,2,2,1,2,3,3,3,2,3,4,2,1
POL,61600068,61600,POL02,3,1,399,129,270,12.871,31,2.4,2.6,1.75,3,3,3,2,2,2,3,3,3,2,2,4,2,3,3,2,2,1,2
POL,61600069,61600,POL01,4,1,458,187,271,13.2754,34.5,1.6,1.4,1.5,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2
POL,61600070,61600,POL04,3,1,942,360,582,11.6296,81,2.2,1.6,1,2.5,2,3,2,2,2,1,2,2,1,2,4,2,2,2,1,1,1,1
POL,61600071,61600,POL03,4,2,457,110,347,10.6279,43,2.2,1.8,1.25,1,3,4,2,1,1,2,2,1,2,2,1,1,1,1,1,2,1,1
POL,61600072,61600,POL03,4,1,233,210,23,3.1275,74.5,2.4,1.6,2.5,1.75,3,3,2,2,2,1,2,2,2,1,2,2,2,1,2,2,3,3
POL,61600073,61600,POL02,4,1,955,407,548,12.3226,77.5,1.8,1.8,3,1.5,3,3,1,1,1,2,2,2,2,1,3,1,1,1,3,3,3,3
POL,61600074,61600,POL04,3,2,1049,693,356,16.0153,65.5,2.2,1.4,2.25,2,3,3,2,2,1,2,1,2,1,1,3,3,1,1,2,2,1,4
POL,61600075,61600,POL03,4,2,396,380,16,10.2857,38.5,1.4,2,2.75,1.5,2,2,1,1,1,2,2,2,2,2,3,1,1,1,2,2,3,4
POL,61600076,61600,POL02,2,3,74,27,47,4.625,16,1.6,1.2,1,1.25,3,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1
POL,61600078,61600,POL02,3,1,772,244,528,12.352,62.5,1.6,1.8,1,2,2,2,1,1,2,2,1,2,2,2,3,1,2,2,1,1,1,1
POL,61600079,61600,POL03,3,1,502,295,207,6.7838,74,2.4,1.8,1.75,1.5,3,3,2,2,2,2,2,2,2,1,3,1,1,1,2,2,1,2
POL,61600080,61600,POL03,3,2,221,221,0,8.1852,27,2.4,1,1,2,3,3,2,2,2,1,1,1,1,1,3,3,1,1,1,1,1,1
POL,61600081,61600,POL03,5,1,563,229,334,12.1075,46.5,2.8,1.2,3.5,1.75,2,3,3,3,3,1,2,1,1,1,4,1,1,1,4,4,3,3
POL,61600082,61600,POL03,3,1,361,279,82,8.0222,45,2.6,2,1.75,2,3,3,3,2,2,2,1,2,3,2,2,2,2,2,2,2,2,1
POL,61600083,61600,POL03,4,1,926,800,126,10.9586,84.5,1.4,1.4,2,2.25,1,2,2,1,1,1,2,2,1,1,4,3,1,1,2,2,2,2
POL,61600084,61600,POL02,4,1,509,200,309,13.0513,39,1.8,1.8,2,1.25,2,2,2,1,2,2,1,3,2,1,2,1,1,1,2,2,2,2
POL,61600085,61600,POL04,2,1,180,117,63,12,15,2.8,2.2,1,2,4,3,2,2,3,3,1,2,3,2,3,3,1,1,1,1,1,1
POL,61600086,61600,POL03,3,1,912,893,19,9.8595,92.5,2.4,1.4,2.25,2,3,3,2,2,2,2,1,1,2,1,3,3,1,1,2,2,3,2
POL,61600087,61600,POL02,2,1,86,29,57,3.5102,24.5,2,2.2,2,2,3,3,1,1,2,2,1,3,3,2,3,1,3,1,2,2,2,2
POL,61600088,61600,POL02,5,1,729,233,496,13.0179,56,1.4,1.4,2.5,1.5,1,2,2,1,1,1,1,2,2,1,3,1,1,1,4,4,1,1
POL,61600089,61600,POL03,4,1,793,556,237,11.9248,66.5,3,2,1.25,2.5,4,4,3,2,2,3,2,1,2,2,4,4,1,1,1,1,2,1
POL,61600090,61600,POL03,3,1,1095,490,605,15.7554,69.5,2.4,2.2,2,1.75,3,3,2,2,2,3,2,2,2,2,3,2,1,1,2,2,2,2
POL,61600091,61600,POL02,4,1,687,149,538,12.4909,55,1.4,1.4,1.25,1.5,2,2,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,2
POL,61600092,61600,POL02,4,1,645,192,453,12.6471,51,1.2,1.2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
POL,61600093,61600,POL02,3,1,238,79,159,9.9167,24,2.6,1.4,2.25,1.5,3,4,2,2,2,2,1,2,1,1,3,1,1,1,3,2,1,3
POL,61600094,61600,POL01,4,1,101,56,45,5.4595,18.5,1.4,1.2,1.25,2,1,1,3,1,1,1,1,2,1,1,3,1,2,2,1,2,1,1
POL,61600095,61600,POL02,3,1,650,203,447,13.9785,46.5,2,1.8,1,1,3,3,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1
POL,61600096,61600,POL03,4,1,717,386,331,9.0759,79,2.6,2.6,2,1.5,3,3,3,2,2,3,3,3,2,2,2,2,1,1,1,2,2,3
POL,61600097,61600,POL03,3,3,874,854,20,10.7901,81,2.2,2,1.5,3.25,2,2,3,2,2,2,2,2,2,2,4,3,3,3,2,2,1,1
POL,61600098,61600,POL02,3,1,343,84,259,NA,NA,1,1,3,1.5,1,1,1,1,1,1,1,1,1,1,3,1,1,1,3,3,4,2
POL,61600099,61600,POL03,4,1,373,148,225,6.2167,60,2.6,1.8,2.5,1.5,3,3,3,2,2,2,2,2,1,2,2,2,1,1,3,3,2,2
POL,61600100,61600,POL03,3,1,574,227,347,9.9826,57.5,1.2,2.6,2.75,1,1,2,1,1,1,2,3,4,1,3,1,1,1,1,3,3,1,4
POL,61600101,61600,POL04,2,1,57,57,0,2.5909,22,1.6,1,1.5,2,2,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,2,2
POL,61600102,61600,POL03,2,1,547,293,254,13.3415,41,2.6,2.4,1.5,2,3,4,2,2,2,2,3,3,2,2,3,2,1,2,2,2,1,1
POL,61600103,61600,POL03,3,1,497,261,236,7.6462,65,2.4,1.8,1,1.5,3,3,2,2,2,2,1,2,2,2,3,1,1,1,1,1,1,1
POL,61600104,61600,POL03,2,3,352,229,123,7.9101,44.5,3,2,1.25,2,4,4,3,2,2,2,2,2,2,2,3,3,1,1,1,1,1,2
POL,61600105,61600,POL02,4,1,179,75,104,5.7742000000000004,31,1.8,1.8,1.25,1.75,2,3,2,1,1,2,1,2,2,2,3,2,1,1,2,1,1,1
POL,61600106,61600,POL03,3,1,36,10,26,3.7895,9.5,1.6,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POL,61600107,61600,POL03,3,1,881,675,206,13.0519,67.5,2,1.8,1,1.5,2,3,2,2,1,2,2,2,1,2,3,1,1,1,1,1,1,1
POL,61600108,61600,POL02,5,1,733,301,432,13.3273,55,2,2.2,2,1.5,2,2,2,2,2,3,1,3,2,2,2,2,1,1,1,1,3,3
POL,61600109,61600,POL03,2,1,405,136,269,7.5,54,1.8,1,1.5,1.25,1,3,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3
POL,61600110,61600,POL02,4,1,30,11,19,3,10,2,2,2.5,3.25,2,2,2,2,2,2,2,2,2,2,4,3,3,3,3,3,2,2
POL,61600111,61600,POL02,4,3,70,70,0,5.1852,13.5,1.2,1.4,1,1.25,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1
POL,61600112,61600,POL03,3,1,222,197,25,7.5254,29.5,2.2,1.8,1,1,2,3,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1
